ID,Genus,Percent,N15,Division,Depth,Zone,Location,Region
NWHI-612a,Halimeda sp.,0.007889218,2.8,Chlorophyta,10,S,FFS,NWHI
NWHI-612b,Halimeda sp.,0.008634485,3,Chlorophyta,10,S,FFS,NWHI
NWHI-612c,Halimeda sp.,0.011948018,2.4,Chlorophyta,10,S,FFS,NWHI
HK 10-1,H. kanaloana,0.02,2.49,Chlorophyta,10,S,Maui,MHI
HK 10-2,H. kanaloana,0.02,1.95,Chlorophyta,10,S,Maui,MHI
HK 10-3,H. kanaloana,0.03,0.52,Chlorophyta,10,S,Maui,MHI
HK 10-4,H. kanaloana,0.02,3.15,Chlorophyta,10,S,Maui,MHI
HK 10-5,H. kanaloana,0.03,1.13,Chlorophyta,10,S,Maui,MHI
HK K 10-1,H. kanaloana,0.03,2.25,Chlorophyta,10,S,Maui,MHI
HK K 10-2,H. kanaloana,0.04,3.02,Chlorophyta,10,S,Maui,MHI
HK K 10-3,H. kanaloana,0.04,3.46,Chlorophyta,10,S,Maui,MHI
HK K 10-4,H. kanaloana,0.04,3.06,Chlorophyta,10,S,Maui,MHI
HK K 10-5,H. kanaloana,0.04,3.15,Chlorophyta,10,S,Maui,MHI
K210-1,H. kanaloana,0.02,2.65,Chlorophyta,10,S,Maui,MHI
K210-2,H. kanaloana,0.02,2.82,Chlorophyta,10,S,Maui,MHI
K210-3,H. kanaloana,0.04,2.83,Chlorophyta,10,S,Maui,MHI
K210-4,H. kanaloana,0.02,3.66,Chlorophyta,10,S,Maui,MHI
K210-5,H. kanaloana,0.02,3.08,Chlorophyta,10,S,Maui,MHI
P10-A,H. kanaloana,0.03,2.88,Chlorophyta,10,S,Maui,MHI
P10-B,H. kanaloana,0.02,3.61,Chlorophyta,10,S,Maui,MHI
P10-C,H. kanaloana,0.03,1.42,Chlorophyta,10,S,Maui,MHI
P10-D,H. kanaloana,0.02,3.34,Chlorophyta,10,S,Maui,MHI
P10-E,H. kanaloana,0.02,2.64,Chlorophyta,10,S,Maui,MHI
P10-F,H. kanaloana,0.02,3.63,Chlorophyta,10,S,Maui,MHI
P10-G,H. kanaloana,0.02,3.9,Chlorophyta,10,S,Maui,MHI
P10-H,H. kanaloana,0.02,3.18,Chlorophyta,10,S,Maui,MHI
NWHI-608a,Halimeda sp.,0.021615547,2.5,Chlorophyta,11,S,FFS,NWHI
NWHI-608b,Halimeda sp.,0.02412779,1.5,Chlorophyta,11,S,FFS,NWHI
NWHI-608c,Halimeda sp.,0.022951033,0.9,Chlorophyta,11,S,FFS,NWHI
NWHI-753a,Halimeda sp.,0.005615161,2.6,Chlorophyta,11,S,Lisianski,NWHI
NWHI-753b,Halimeda sp.,0.009109378,2.3,Chlorophyta,11,S,Lisianski,NWHI
NWHI-753c,Halimeda sp.,0.008362891,1.9,Chlorophyta,11,S,Lisianski,NWHI
ML1,H. kanaloana,0.02,2.56,Chlorophyta,11,S,Maui,MHI
ML2,H. kanaloana,0.02,3.87,Chlorophyta,11,S,Maui,MHI
ML3,H. kanaloana,0.03,3.58,Chlorophyta,11,S,Maui,MHI
ML4,H. kanaloana,0.02,3.25,Chlorophyta,11,S,Maui,MHI
ML5,H. kanaloana,0.02,3.47,Chlorophyta,11,S,Maui,MHI
NWHI-609a,Microdictyon sp.,0.011534118,-0.2,Chlorophyta,11,S,FFS,NWHI
NWHI-609b,Microdictyon sp.,0.009834027,1.5,Chlorophyta,11,S,FFS,NWHI
NWHI-609c,Microdictyon sp.,0.011528523,2.7,Chlorophyta,11,S,FFS,NWHI
NWHI-752a,Microdictyon sp.,0.009923724,3,Chlorophyta,11,S,Lisianski,NWHI
NWHI-752b,Microdictyon sp.,0.010817308,2,Chlorophyta,11,S,Lisianski,NWHI
NWHI-752c,Microdictyon sp.,0.010054881,2.8,Chlorophyta,11,S,Lisianski,NWHI
NWHI-878a,Halimeda sp.,0.008552697,3.7,Chlorophyta,12,S,Pearl & Hermes,NWHI
NWHI-878b,Halimeda sp.,0.00960215,2.5,Chlorophyta,12,S,Pearl & Hermes,NWHI
NWHI-878c,Halimeda sp.,0.007555761,4.8,Chlorophyta,12,S,Pearl & Hermes,NWHI
NWHI-641a,Halimeda sp.,0.006423634,2.4,Chlorophyta,14,S,FFS,NWHI
NWHI-641b,Halimeda sp.,0.007767635,2.4,Chlorophyta,14,S,FFS,NWHI
NWHI-641c,Halimeda sp.,0.006471434,2.7,Chlorophyta,14,S,FFS,NWHI
NWHI-642a,Halimeda sp.,0.016931321,2.2,Chlorophyta,14,S,FFS,NWHI
NWHI-642b,Halimeda sp.,0.023061971,2.9,Chlorophyta,14,S,FFS,NWHI
NWHI-642c,Halimeda sp.,0.018415049,2.8,Chlorophyta,14,S,FFS,NWHI
HK 40,H. kanaloana,0.02,1.97,Chlorophyta,14,S,Maui,MHI
HK 41,H. kanaloana,0.02,3.17,Chlorophyta,14,S,Maui,MHI
HK 42,H. kanaloana,0.03,-0.37,Chlorophyta,14,S,Maui,MHI
HK 43,H. kanaloana,0.03,2,Chlorophyta,14,S,Maui,MHI
HK 44,H. kanaloana,0.03,2,Chlorophyta,14,S,Maui,MHI
HK 45,H. kanaloana,0.03,0.57,Chlorophyta,14,S,Maui,MHI
HK 46,H. kanaloana,0.04,1.63,Chlorophyta,14,S,Maui,MHI
HK 47,H. kanaloana,0.03,1.1,Chlorophyta,14,S,Maui,MHI
HK 48,H. kanaloana,0.03,1.7,Chlorophyta,14,S,Maui,MHI
HK 49,H. kanaloana,0.02,3.28,Chlorophyta,14,S,Maui,MHI
HK 50,H. kanaloana,0.02,1.21,Chlorophyta,14,S,Maui,MHI
HK 51,H. kanaloana,0.03,0.28,Chlorophyta,14,S,Maui,MHI
HK 52,H. kanaloana,0.03,1.44,Chlorophyta,14,S,Maui,MHI
HK 53,H. kanaloana,0.03,1.82,Chlorophyta,14,S,Maui,MHI
HK 54,H. kanaloana,0.03,2.1,Chlorophyta,14,S,Maui,MHI
HK 55,H. kanaloana,0.05,1.85,Chlorophyta,14,S,Maui,MHI
HK 56,H. kanaloana,0.04,1.79,Chlorophyta,14,S,Maui,MHI
HK 57,H. kanaloana,0.03,2.11,Chlorophyta,14,S,Maui,MHI
HK 58,H. kanaloana,0.03,1.61,Chlorophyta,14,S,Maui,MHI
HK 59,H. kanaloana,0.03,0.41,Chlorophyta,14,S,Maui,MHI
HK 60,H. kanaloana,0.04,2.21,Chlorophyta,14,S,Maui,MHI
HK 61,H. kanaloana,0.03,2.12,Chlorophyta,14,S,Maui,MHI
HK 62,H. kanaloana,0.04,1.77,Chlorophyta,14,S,Maui,MHI
HK 63,H. kanaloana,0.03,1.1,Chlorophyta,14,S,Maui,MHI
HK 64,H. kanaloana,0.03,1.57,Chlorophyta,14,S,Maui,MHI
HK 65,H. kanaloana,0.02,3.18,Chlorophyta,14,S,Maui,MHI
HK 66,H. kanaloana,0.03,0.45,Chlorophyta,14,S,Maui,MHI
HK 73,H. kanaloana,0.03,2.35,Chlorophyta,14,S,Maui,MHI
HK 74,H. kanaloana,0.03,2.91,Chlorophyta,14,S,Maui,MHI
HK 75,H. kanaloana,0.03,2.34,Chlorophyta,14,S,Maui,MHI
NWHI-230-1,Halimeda sp.,0.01,4.6,Chlorophyta,15,S,Johnston Atoll,NWHI
NWHI-974a,Microdictyon sp.,0.0089332,1.2,Chlorophyta,15,S,Pearl & Hermes,NWHI
NWHI-974b,Microdictyon sp.,0.009416792,1.2,Chlorophyta,15,S,Pearl & Hermes,NWHI
NWHI-974c,Microdictyon sp.,0.008649029,1.4,Chlorophyta,15,S,Pearl & Hermes,NWHI
MHI-168,Halimeda sp.,0.007761464,1.5,Chlorophyta,17,S,Niihau,MHI
Ha60-10,H. kanaloana,0.03,4.27,Chlorophyta,18,S,Maui,MHI
Ha60-6,H. kanaloana,0.03,2.32,Chlorophyta,18,S,Maui,MHI
Ha60-7,H. kanaloana,0.02,2.34,Chlorophyta,18,S,Maui,MHI
Ha60-8,H. kanaloana,0.03,1.78,Chlorophyta,18,S,Maui,MHI
HK 10,H. kanaloana,0.03,2.1,Chlorophyta,18,S,Maui,MHI
HK 12,H. kanaloana,0.03,2.23,Chlorophyta,18,S,Maui,MHI
HK 13,H. kanaloana,0.04,1.57,Chlorophyta,18,S,Maui,MHI
HK 17,H. kanaloana,0.03,2.29,Chlorophyta,18,S,Maui,MHI
HK 19,H. kanaloana,0.03,1.59,Chlorophyta,18,S,Maui,MHI
HK 2,H. kanaloana,0.04,1.9,Chlorophyta,18,S,Maui,MHI
HK 20,H. kanaloana,0.03,2.22,Chlorophyta,18,S,Maui,MHI
HK 3,H. kanaloana,0.03,2.15,Chlorophyta,18,S,Maui,MHI
HK 5,H. kanaloana,0.02,1.98,Chlorophyta,18,S,Maui,MHI
HK 6,H. kanaloana,0.02,3.48,Chlorophyta,18,S,Maui,MHI
HK 7,H. kanaloana,0.02,2.2,Chlorophyta,18,S,Maui,MHI
HK 8,H. kanaloana,0.02,1.99,Chlorophyta,18,S,Maui,MHI
HK60-1,H. kanaloana,0.03,2.3,Chlorophyta,18,S,Maui,MHI
HK60-2,H. kanaloana,0.03,2.01,Chlorophyta,18,S,Maui,MHI
HK60-3,H. kanaloana,0.03,2.01,Chlorophyta,18,S,Maui,MHI
HK60-4,H. kanaloana,0.02,2.32,Chlorophyta,18,S,Maui,MHI
Hono-7,H. kanaloana,0.02,2.59,Chlorophyta,18,S,Maui,MHI
Ha60-9,H. kanaloana,0.03,-2.42,Chlorophyta,18,S,Maui,MHI
HK 1,H. kanaloana,0.02,2.87,Chlorophyta,18,S,Maui,MHI
HK 11,H. kanaloana,0.02,3.01,Chlorophyta,18,S,Maui,MHI
HK 14,H. kanaloana,0.03,-0.77,Chlorophyta,18,S,Maui,MHI
HK 15,H. kanaloana,0.02,3.18,Chlorophyta,18,S,Maui,MHI
HK 16,H. kanaloana,0.02,3,Chlorophyta,18,S,Maui,MHI
HK 18,H. kanaloana,0.02,2.9,Chlorophyta,18,S,Maui,MHI
HK 4,H. kanaloana,0.01,2.72,Chlorophyta,18,S,Maui,MHI
HK60-5,H. kanaloana,0.02,3.07,Chlorophyta,18,S,Maui,MHI
Hono-10,H. kanaloana,0.02,2.87,Chlorophyta,18,S,Maui,MHI
Hono-6,H. kanaloana,0.04,-1.14,Chlorophyta,18,S,Maui,MHI
Hono-8,H. kanaloana,0.03,3.13,Chlorophyta,18,S,Maui,MHI
Hono-9,H. kanaloana,0.04,2.72,Chlorophyta,18,S,Maui,MHI
Ha 28a,Halimeda sp.,0.02,3.31,Chlorophyta,18,S,Oahu,MHI
Ha 28b,Halimeda sp.,0.02,4.36,Chlorophyta,18,S,Oahu,MHI
OP-AV1,Avrainvillea sp.,0.03,2.64,Chlorophyta,18,S,Oahu,MHI
OP-AV2,Avrainvillea sp.,0.03,1.2,Chlorophyta,18,S,Oahu,MHI
OP-AV3,Avrainvillea sp.,0.03,1.55,Chlorophyta,18,S,Oahu,MHI
OP-AV4,Avrainvillea sp.,0.02,-0.49,Chlorophyta,18,S,Oahu,MHI
OP-AV5,Avrainvillea sp.,0.03,1.55,Chlorophyta,18,S,Oahu,MHI
HK 20-1,H. kanaloana,0.03,2.15,Chlorophyta,20,S,Maui,MHI
HK 20-2,H. kanaloana,0.02,2.02,Chlorophyta,20,S,Maui,MHI
HK 20-3,H. kanaloana,0.03,3.32,Chlorophyta,20,S,Maui,MHI
HK 20-4,H. kanaloana,0.02,2.15,Chlorophyta,20,S,Maui,MHI
HK 20-5,H. kanaloana,0.02,2.03,Chlorophyta,20,S,Maui,MHI
HK K 20-1,H. kanaloana,0.04,1.83,Chlorophyta,20,S,Maui,MHI
HK K 20-2,H. kanaloana,0.02,1.3,Chlorophyta,20,S,Maui,MHI
HK K 20-3,H. kanaloana,0.03,1.46,Chlorophyta,20,S,Maui,MHI
HK K 20-4,H. kanaloana,0.02,2,Chlorophyta,20,S,Maui,MHI
HK K 20-5,H. kanaloana,0.02,2.49,Chlorophyta,20,S,Maui,MHI
HK L-1,H. kanaloana,0.04,1.4,Chlorophyta,20,S,Maui,MHI
HK L-2,H. kanaloana,0.02,1.6,Chlorophyta,20,S,Maui,MHI
HK L-5,H. kanaloana,0.03,3.36,Chlorophyta,20,S,Maui,MHI
HK M-1,H. kanaloana,0.02,3.01,Chlorophyta,20,S,Maui,MHI
HK M-2,H. kanaloana,0.02,0.45,Chlorophyta,20,S,Maui,MHI
HK M-3,H. kanaloana,0.02,2.99,Chlorophyta,20,S,Maui,MHI
HK M-4,H. kanaloana,0.02,1.68,Chlorophyta,20,S,Maui,MHI
HK M-5,H. kanaloana,0.02,2.08,Chlorophyta,20,S,Maui,MHI
HK P-1,H. kanaloana,0.02,2.15,Chlorophyta,20,S,Maui,MHI
HK P-2,H. kanaloana,0.03,1.82,Chlorophyta,20,S,Maui,MHI
HK P-3,H. kanaloana,0.03,1.84,Chlorophyta,20,S,Maui,MHI
HK P-4,H. kanaloana,0.03,1.98,Chlorophyta,20,S,Maui,MHI
HK P-5,H. kanaloana,0.02,2.47,Chlorophyta,20,S,Maui,MHI
K20-A,H. kanaloana,0.02,2.15,Chlorophyta,20,S,Maui,MHI
K20-B,H. kanaloana,0.03,2,Chlorophyta,20,S,Maui,MHI
K20-C,H. kanaloana,0.03,2.03,Chlorophyta,20,S,Maui,MHI
K20-D,H. kanaloana,0.05,-0.34,Chlorophyta,20,S,Maui,MHI
K20-E,H. kanaloana,0.02,1.69,Chlorophyta,20,S,Maui,MHI
K20-F,H. kanaloana,0.02,2.31,Chlorophyta,20,S,Maui,MHI
K20-G,H. kanaloana,0.02,3.13,Chlorophyta,20,S,Maui,MHI
K20-H,H. kanaloana,0.02,0.63,Chlorophyta,20,S,Maui,MHI
K20-I,H. kanaloana,0.03,2.88,Chlorophyta,20,S,Maui,MHI
K20-J,H. kanaloana,0.02,2.78,Chlorophyta,20,S,Maui,MHI
K220-1,H. kanaloana,0.02,3.05,Chlorophyta,20,S,Maui,MHI
K220-2,H. kanaloana,0.02,3.2,Chlorophyta,20,S,Maui,MHI
K220-3,H. kanaloana,0.03,1.14,Chlorophyta,20,S,Maui,MHI
K220-4,H. kanaloana,0.03,2.05,Chlorophyta,20,S,Maui,MHI
K220-5,H. kanaloana,0.02,2.44,Chlorophyta,20,S,Maui,MHI
P20-A,H. kanaloana,0.02,1.97,Chlorophyta,20,S,Maui,MHI
P20-B,H. kanaloana,0.04,2.6,Chlorophyta,20,S,Maui,MHI
P20-C,H. kanaloana,0.02,2.25,Chlorophyta,20,S,Maui,MHI
P20-D,H. kanaloana,0.03,3.29,Chlorophyta,20,S,Maui,MHI
P20-E,H. kanaloana,0.03,2.3,Chlorophyta,20,S,Maui,MHI
P20-F,H. kanaloana,0.02,2.65,Chlorophyta,20,S,Maui,MHI
P20-G,H. kanaloana,0.01,2.01,Chlorophyta,20,S,Maui,MHI
P20-H,H. kanaloana,0.02,2.4,Chlorophyta,20,S,Maui,MHI
P20-I,H. kanaloana,0.02,1.65,Chlorophyta,20,S,Maui,MHI
P20-J,H. kanaloana,0.02,2.57,Chlorophyta,20,S,Maui,MHI
P20-K,H. kanaloana,0.01,1.51,Chlorophyta,20,S,Maui,MHI
NWHI-1070a,Halimeda sp.,0.006231756,2.2,Chlorophyta,20,S,Pearl & Hermes,NWHI
NWHI-1070b,Halimeda sp.,0.007227551,1.8,Chlorophyta,20,S,Pearl & Hermes,NWHI
NWHI-1070c,Halimeda sp.,0.007936244,2,Chlorophyta,20,S,Pearl & Hermes,NWHI
AV 89B,Avrainvillea sp.,0.04,0.92,Chlorophyta,20,S,Oahu,MHI
AV 89C,Avrainvillea sp.,0.05,1.19,Chlorophyta,20,S,Oahu,MHI
NWHI-1069a,Microdictyon sp.,0.011103959,1,Chlorophyta,20,S,Pearl & Hermes,NWHI
NWHI-1069b,Microdictyon sp.,0.010244534,0.8,Chlorophyta,20,S,Pearl & Hermes,NWHI
NWHI-1069c,Microdictyon sp.,0.011854225,1.5,Chlorophyta,20,S,Pearl & Hermes,NWHI
NWHI-1071a,Halimeda sp.,0.005800236,1.5,Chlorophyta,23,S,Pearl & Hermes,NWHI
NWHI-1071b,Halimeda sp.,0.011372202,2.1,Chlorophyta,23,S,Pearl & Hermes,NWHI
NWHI-1071c,Halimeda sp.,0.007540832,1.7,Chlorophyta,23,S,Pearl & Hermes,NWHI
Ha 11a,Halimeda sp.,0.02,3.12,Chlorophyta,24,S,Oahu,MHI
Ha 11b,Halimeda sp.,0.03,1.77,Chlorophyta,24,S,Oahu,MHI
Ha 11c,Halimeda sp.,0.02,3.06,Chlorophyta,24,S,Oahu,MHI
Ha 35a,Halimeda sp.,0.02,4.01,Chlorophyta,24,S,Oahu,MHI
Ha 35b,Halimeda sp.,0.02,3.38,Chlorophyta,24,S,Oahu,MHI
Ha 35c,Halimeda sp.,0.02,3.01,Chlorophyta,24,S,Oahu,MHI
NWHI-1072a,Halimeda sp.,0.015480188,2.7,Chlorophyta,24,S,Pearl & Hermes,NWHI
NWHI-1072b,Halimeda sp.,0.016104219,3,Chlorophyta,24,S,Pearl & Hermes,NWHI
NWHI-1072c,Halimeda sp.,0.016953625,2.7,Chlorophyta,24,S,Pearl & Hermes,NWHI
Av 34a,Avrainvillea sp.,0.03,2.23,Chlorophyta,24,S,Oahu,MHI
Av 34c,Avrainvillea sp.,0.04,1.72,Chlorophyta,24,S,Oahu,MHI
NWHI-1073a,Microdictyon sp.,0.019453739,2.5,Chlorophyta,25,S,Pearl & Hermes,NWHI
NWHI-1073b,Microdictyon sp.,0.020090407,2.2,Chlorophyta,25,S,Pearl & Hermes,NWHI
NWHI-1073c,Microdictyon sp.,0.019883511,2.2,Chlorophyta,25,S,Pearl & Hermes,NWHI
Ha90-10,H. kanaloana,0.02,2.65,Chlorophyta,27,S,Maui,MHI
Ha90-6,H. kanaloana,0.02,2.52,Chlorophyta,27,S,Maui,MHI
Ha90-7,H. kanaloana,0.02,2.66,Chlorophyta,27,S,Maui,MHI
Ha90-8,H. kanaloana,0.02,2.93,Chlorophyta,27,S,Maui,MHI
Ha90-9,H. kanaloana,0.02,2.45,Chlorophyta,27,S,Maui,MHI
HK 21,H. kanaloana,0.02,2.46,Chlorophyta,27,S,Maui,MHI
HK 22,H. kanaloana,0.02,2.63,Chlorophyta,27,S,Maui,MHI
HK 24,H. kanaloana,0.02,2.17,Chlorophyta,27,S,Maui,MHI
HK 25,H. kanaloana,0.01,3.13,Chlorophyta,27,S,Maui,MHI
HK 26,H. kanaloana,0.03,-1.45,Chlorophyta,27,S,Maui,MHI
HK 27,H. kanaloana,0.03,0.48,Chlorophyta,27,S,Maui,MHI
HK 28,H. kanaloana,0.02,2.71,Chlorophyta,27,S,Maui,MHI
HK 29,H. kanaloana,0.02,2.97,Chlorophyta,27,S,Maui,MHI
HK 30,H. kanaloana,0.03,2.18,Chlorophyta,27,S,Maui,MHI
HK 31,H. kanaloana,0.01,3.82,Chlorophyta,27,S,Maui,MHI
HK 32,H. kanaloana,0.03,-1.12,Chlorophyta,27,S,Maui,MHI
HK 33,H. kanaloana,0.02,0.19,Chlorophyta,27,S,Maui,MHI
HK 34,H. kanaloana,0.02,1.9,Chlorophyta,27,S,Maui,MHI
HK 35,H. kanaloana,0.02,1.87,Chlorophyta,27,S,Maui,MHI
HK 36,H. kanaloana,0.01,3.58,Chlorophyta,27,S,Maui,MHI
HK 37,H. kanaloana,0.02,2.71,Chlorophyta,27,S,Maui,MHI
HK 38,H. kanaloana,0.02,2.79,Chlorophyta,27,S,Maui,MHI
HK90-1,H. kanaloana,0.03,2.33,Chlorophyta,27,S,Maui,MHI
HK90-2,H. kanaloana,0.03,2.56,Chlorophyta,27,S,Maui,MHI
HK90-3,H. kanaloana,0.03,2,Chlorophyta,27,S,Maui,MHI
HK90-4,H. kanaloana,0.03,2.38,Chlorophyta,27,S,Maui,MHI
HK90-5,H. kanaloana,0.02,2.28,Chlorophyta,27,S,Maui,MHI
HK 30-1,H. kanaloana,0.02,2.72,Chlorophyta,30,S,Maui,MHI
HK 30-2,H. kanaloana,0.03,2.47,Chlorophyta,30,S,Maui,MHI
HK 30-3,H. kanaloana,0.02,2.23,Chlorophyta,30,S,Maui,MHI
HK 30-4,H. kanaloana,0.02,1.97,Chlorophyta,30,S,Maui,MHI
HK 30-5,H. kanaloana,0.02,1.92,Chlorophyta,30,S,Maui,MHI
HK K 30-1,H. kanaloana,0.02,3.18,Chlorophyta,30,S,Maui,MHI
HK K 30-2,H. kanaloana,0.02,3.34,Chlorophyta,30,S,Maui,MHI
HK K 30-3,H. kanaloana,0.02,1.85,Chlorophyta,30,S,Maui,MHI
HK K 30-4,H. kanaloana,0.02,2.71,Chlorophyta,30,S,Maui,MHI
HK K 30-5,H. kanaloana,0.02,2.43,Chlorophyta,30,S,Maui,MHI
K230-1,H. kanaloana,0.02,2.22,Chlorophyta,30,S,Maui,MHI
K230-2,H. kanaloana,0.02,1.86,Chlorophyta,30,S,Maui,MHI
K230-3,H. kanaloana,0.02,2.07,Chlorophyta,30,S,Maui,MHI
K230-4,H. kanaloana,0.02,2.05,Chlorophyta,30,S,Maui,MHI
K230-5,H. kanaloana,0.02,2.48,Chlorophyta,30,S,Maui,MHI
K30-A,H. kanaloana,0.03,2.56,Chlorophyta,30,S,Maui,MHI
K30-B,H. kanaloana,0.03,2.56,Chlorophyta,30,S,Maui,MHI
K30-C,H. kanaloana,0.03,3.01,Chlorophyta,30,S,Maui,MHI
K30-D,H. kanaloana,0.03,2.91,Chlorophyta,30,S,Maui,MHI
K30-E,H. kanaloana,0.03,2.29,Chlorophyta,30,S,Maui,MHI
K30-F,H. kanaloana,0.02,1.25,Chlorophyta,30,S,Maui,MHI
K30-G,H. kanaloana,0.02,2.4,Chlorophyta,30,S,Maui,MHI
K30-H,H. kanaloana,0.03,2.44,Chlorophyta,30,S,Maui,MHI
K30-I,H. kanaloana,0.03,3.35,Chlorophyta,30,S,Maui,MHI
K30-J,H. kanaloana,0.02,2.29,Chlorophyta,30,S,Maui,MHI
K30-K,H. kanaloana,0.03,2.91,Chlorophyta,30,S,Maui,MHI
K30-L,H. kanaloana,0.04,2.29,Chlorophyta,30,S,Maui,MHI
AV 73-1,Avrainvillea sp.,0.03,0.85,Chlorophyta,30,S,Oahu,MHI
AV 73-2,Avrainvillea sp.,0.03,1.29,Chlorophyta,30,S,Oahu,MHI
AV 73-3,Avrainvillea sp.,0.03,0.2,Chlorophyta,30,S,Oahu,MHI
HA 91A,Halimeda sp.,0.023535663,1.68,Chlorophyta,38,M,Oahu,MHI
HA 91B,Halimeda sp.,0.024251565,0.98,Chlorophyta,38,M,Oahu,MHI
HA 91C,Halimeda sp.,0.025874312,1.26,Chlorophyta,38,M,Oahu,MHI
K-H1,Halimeda sp.,0.014407727,1.3,Chlorophyta,38,M,Oahu,MHI
K-H2,Halimeda sp.,0.015043774,1.46,Chlorophyta,38,M,Oahu,MHI
K-H3,Halimeda sp.,0.01452652,3.35,Chlorophyta,38,M,Oahu,MHI
K-H4,Halimeda sp.,0.017404905,1.53,Chlorophyta,38,M,Oahu,MHI
AV 90A,Avrainvillea sp.,0.050637121,1.19,Chlorophyta,38,M,Oahu,MHI
AV 90B,Avrainvillea sp.,0.051909646,0.8,Chlorophyta,38,M,Oahu,MHI
AV 90C,Avrainvillea sp.,0.052646649,0.95,Chlorophyta,38,M,Oahu,MHI
K-AV1,Avrainvillea sp.,0.043318961,1.26,Chlorophyta,38,M,Oahu,MHI
K-AV2,Avrainvillea sp.,0.045438968,0.31,Chlorophyta,38,M,Oahu,MHI
K-AV3,Avrainvillea sp.,0.046068206,2.22,Chlorophyta,38,M,Oahu,MHI
K-AV4,Avrainvillea sp.,0.047788261,1.42,Chlorophyta,38,M,Oahu,MHI
K-AV5,Avrainvillea sp.,0.039690415,0.99,Chlorophyta,38,M,Oahu,MHI
K-AV6,Avrainvillea sp.,0.04872758,1.87,Chlorophyta,38,M,Oahu,MHI
K-AV7,Avrainvillea sp.,0.040526982,1.72,Chlorophyta,38,M,Oahu,MHI
127A,H. kanaloana,0.018215631,3.22,Chlorophyta,39,M,Maui,MHI
127B,H. kanaloana,0.019124783,2.15,Chlorophyta,39,M,Maui,MHI
127C,H. kanaloana,0.017189081,2.41,Chlorophyta,39,M,Maui,MHI
127D,H. kanaloana,0.015607747,3.36,Chlorophyta,39,M,Maui,MHI
127E,H. kanaloana,0.016003285,2.82,Chlorophyta,39,M,Maui,MHI
Ha 2a,Halimeda sp.,0.014071967,2.2,Chlorophyta,40,M,Oahu,MHI
Ha 2b,Halimeda sp.,0.017295896,2.25,Chlorophyta,40,M,Oahu,MHI
Ha 2c,Halimeda sp.,0.017037455,4.68,Chlorophyta,40,M,Oahu,MHI
Ha 15a,Halimeda sp.,0.026639839,3.81,Chlorophyta,40,M,Oahu,MHI
Ha 15b,Halimeda sp.,0.015158899,2.7,Chlorophyta,40,M,Oahu,MHI
